dish_name,suggested_band,state_origin,why_flagged,sig_score,evidence_confidence,owner,method
Hyderabadi Mutton Biryani,RESOLVED (WP-21): state_icon,Hyderabad,tier_1 + user-facing + combo primary role,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Mirchi Ka Salan,RESOLVED (WP-21): regional_hero,Hyderabad,tier_1 + user-facing + region_food_affinity=0.85,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Double Ka Meetha,RESOLVED (WP-21): regional_hero,Hyderabad,tier_1 + user-facing + region_food_affinity=0.85,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Irani Chai,RESOLVED (WP-21): regional_hero,Hyderabad,tier_1 + user-facing + region_food_affinity=0.90,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Idli,RESOLVED (WP-21): national_icon,Tamil Nadu,tier_1 + user-facing + region_food_affinity=0.95 + combo primary role,1.0,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Sambar,RESOLVED (WP-21): state_icon,Tamil Nadu,tier_1 + user-facing + region_food_affinity=0.95,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Medu Vada,RESOLVED (WP-21): regional_hero,Tamil Nadu,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Uttapam,RESOLVED (WP-21): regional_hero,Tamil Nadu,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Curd Rice,RESOLVED (WP-21): regional_hero,Tamil Nadu,tier_1 + user-facing + region_food_affinity=0.90,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Filter Coffee,RESOLVED (WP-21): state_icon,Tamil Nadu,tier_1 + user-facing + region_food_affinity=0.95,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Kerala Fish Curry,RESOLVED (WP-21): state_icon,Kerala,tier_1 + user-facing + region_food_affinity=0.95,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Appam with Stew,RESOLVED (WP-21): state_icon,Kerala,tier_1 + user-facing + region_food_affinity=0.90,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Puttu,RESOLVED (WP-21): regional_hero,Kerala,tier_1 + user-facing + region_food_affinity=0.90 + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Banana Chips,RESOLVED (WP-21): regional_hero,Kerala,tier_1 + user-facing + region_food_affinity=0.85,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Sadya Thali,RESOLVED (WP-21): state_icon,Kerala,tier_1 + user-facing + region_food_affinity=0.95,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Bisi Bele Bath,RESOLVED (WP-21): state_icon,Karnataka,tier_1 + user-facing + region_food_affinity=0.90,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Ragi Mudde,RESOLVED (WP-21): regional_hero,Karnataka,tier_1 + user-facing + region_food_affinity=0.85,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Akki Rotti,RESOLVED (WP-21): regional_hero,Karnataka,tier_1 + user-facing + region_food_affinity=0.85,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Mysore Pak,RESOLVED (WP-21): state_icon,Karnataka,tier_1 + user-facing + region_food_affinity=0.90,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Machher Jhol,RESOLVED (WP-21): regional_hero,West Bengal,tier_1 + user-facing + region_food_affinity=0.95,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Shorshe Ilish,RESOLVED (WP-21): state_icon,West Bengal,tier_1 + user-facing + region_food_affinity=0.95,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Kosha Mangsho,RESOLVED (WP-21): regional_hero,West Bengal,tier_1 + user-facing + region_food_affinity=0.90,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Mishti Doi,RESOLVED (WP-21): state_icon,West Bengal,tier_1 + user-facing + region_food_affinity=0.90,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Rasgulla,RESOLVED (WP-21): state_icon,West Bengal,tier_1 + user-facing + region_food_affinity=0.95,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Vada Pav,RESOLVED (WP-21): national_icon,Maharashtra,tier_1 + user-facing + region_food_affinity=0.95,1.0,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Misal Pav,RESOLVED (WP-21): state_icon,Maharashtra,tier_1 + user-facing + region_food_affinity=0.90,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Puran Poli,RESOLVED (WP-21): regional_hero,Maharashtra,tier_1 + user-facing + region_food_affinity=0.85,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Poha,RESOLVED (WP-21): regional_hero,Maharashtra,tier_1 + user-facing + region_food_affinity=0.85,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Pav Bhaji,RESOLVED (WP-21): national_icon,Maharashtra,tier_1 + user-facing + region_food_affinity=0.90,1.0,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Dhokla,RESOLVED (WP-21): state_icon,Gujarat,tier_1 + user-facing + region_food_affinity=0.95,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Thepla,RESOLVED (WP-21): regional_hero,Gujarat,tier_1 + user-facing + region_food_affinity=0.90,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Undhiyu,RESOLVED (WP-21): state_icon,Gujarat,tier_1 + user-facing + region_food_affinity=0.90,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Khandvi,RESOLVED (WP-21): regional_hero,Gujarat,tier_1 + user-facing + region_food_affinity=0.85,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Fafda Jalebi,RESOLVED (WP-21): regional_hero,Gujarat,tier_1 + user-facing + region_food_affinity=0.85,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Goan Fish Curry,RESOLVED (WP-21): state_icon,Goa,tier_1 + user-facing + region_food_affinity=0.95,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Vindaloo (Pork),RESOLVED (WP-21): state_icon,Goa,tier_1 + user-facing + region_food_affinity=0.90,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Xacuti (Chicken),RESOLVED (WP-21): regional_hero,Goa,tier_1 + user-facing + region_food_affinity=0.85,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Bebinca,RESOLVED (WP-21): state_icon,Goa,tier_1 + user-facing + region_food_affinity=0.85,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Chole Tikki,RESOLVED (WP-21): regional_hero,Pan-India,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Pithla,RESOLVED (WP-21): regional_hero,Maharashtra,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Tahiri,RESOLVED (WP-21): regional_hero,Uttar Pradesh,tier_1 + user-facing + region_food_affinity=0.85,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Khichdi,RESOLVED (WP-21): national_icon,Uttar Pradesh,tier_1 + user-facing + region_food_affinity=0.90,1.0,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Puri,RESOLVED (WP-21): regional_hero,Uttar Pradesh,tier_1 + user-facing + region_food_affinity=0.85,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
