dish_name,sig_score,band,evidence_confidence,coverage_confidence,owner,method,version,status
Kulcha,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Lassi (Sweet),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Lassi (Salted),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Matar Paneer,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Dal Tadka,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Bhindi Masala,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Baingan Bharta,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Dum Aloo,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Jeera Rice,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pindi Chole,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chicken Curry,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Keema Matar,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Phulka,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Tawa Chicken,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Bhatura,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Bedmi Puri,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Aloo Sabzi (Delhi style),0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Dahi Bhalla,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Aloo Tikki,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pav Bhaji (Delhi style),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Parantha (Plain),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Mooli Paratha,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chur Chur Naan,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chaat Papdi,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Kachori (Dal),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Bhel Puri,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Sev Puri,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Egg Bhurji,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Egg Curry,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Mughlai Paratha,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Rabri Jalebi,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kulfi Falooda,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Rumali Roti,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Nihari,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Mutton Korma,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Biryani (Mughlai Chicken),0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Shami Kebab,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Mughlai Chicken,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pasanda,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Mutton Rogan Josh,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Galouti Kebab,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Kakori Kebab,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Lucknowi Biryani,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Tunday Kebab,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chicken Stew (Awadhi),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Nahari Kulcha,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Sheermal,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Zarda,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Phirni,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Haleem,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Rezala,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Baida Roti,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Warqi Paratha,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Hyderabadi Chicken Biryani,1.0,national_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Hyderabadi Mutton Biryani,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Mirchi Ka Salan,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Double Ka Meetha,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Bagara Baingan,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pathar Ka Gosht,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Lukhmi,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Khubani Ka Meetha,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Hyderabadi Marag,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Dalcha,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Osmania Biscuit,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Dum Ka Murgh,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Bagara Khana,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Hyderabadi Egg Biryani,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Irani Chai,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Tahari,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Qubani Ka Meetha,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Achari Gosht,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Masala Dosa,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Plain Dosa,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Idli,1.0,national_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Sambar,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Rasam,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Coconut Chutney,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Medu Vada,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Uttapam,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Pongal (Ven),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pongal (Sweet),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Curd Rice,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Lemon Rice,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Tamarind Rice,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Tomato Rice,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kootu,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Poriyal,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Avial,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kuzhambu (Vathal),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Payasam (Semiya),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Appam,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Rasam Vada,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Thali Meals (South Indian),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chicken Chettinad,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chettinad Egg Curry,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Paniyaram,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Murukku,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kothu Parotta,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Parotta (Kerala/Tamil),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Filter Coffee,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Sundal,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kerala Fish Curry,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Appam with Stew,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Puttu,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Kadala Curry,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Fish Molee,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kerala Prawn Curry,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Avial (Kerala),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Olan,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Parippu Curry,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Banana Chips,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Sadya Thali,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Kerala Parotta,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Beef Fry (Kerala),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Payasam (Ada),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Palada Payasam,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Malabar Biryani,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pathiri,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Unniyappam,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Erissery,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Mutta Curry,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Bisi Bele Bath,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Ragi Mudde,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Neer Dosa,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Jolada Rotti,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chitranna,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Set Dosa,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
