dish_name,protein_g,fibre_g,fat_g,carbs_g,sugar_g,sodium_mg,serving_note,evidence_confidence,owner,method
Kulcha,5,1,5,34,2,380,1 piece ~90g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Lassi (Sweet),6,0,6,24,22,90,250ml glass,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Lassi (Salted),6,0,5,8,4,300,250ml glass,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Matar Paneer,12,3,16,12,4,420,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Bhindi Masala,3,5,9,12,3,350,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Baingan Bharta,3,5,10,12,4,380,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Dum Aloo,4,3,13,20,3,420,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Jeera Rice,4,1,5,45,0,200,~200g cooked,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Pindi Chole,12,8,12,30,3,500,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Chicken Curry,22,1,15,8,2,450,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Keema Matar,20,3,18,8,2,480,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Phulka,2,1,1,15,0,100,1 piece ~30g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Tawa Chicken,24,1,14,6,2,460,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Bhatura,5,1,10,30,1,250,1 piece ~80g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Aloo Tikki,4,3,12,28,2,350,2 pcs ~120g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Pav Bhaji (Delhi style),6,5,15,40,5,600,~250g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Parantha (Plain),4,2,8,30,1,200,1 piece ~80g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Mooli Paratha,4,3,9,32,1,250,1 piece ~100g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Chur Chur Naan,6,1,12,45,2,500,1 piece ~120g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Kachori (Dal),6,3,15,30,1,350,2 pcs ~100g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Bhel Puri,5,3,8,30,8,500,~150g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Sev Puri,5,2,10,28,6,480,~150g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Egg Bhurji,13,1,15,5,2,350,~150g (2 eggs),Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Egg Curry,14,1,16,8,3,420,~200g (2 eggs),Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Mughlai Paratha,12,2,20,35,2,450,1 piece ~150g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Rabri Jalebi,5,0,15,55,45,100,~150g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Kulfi Falooda,5,1,12,40,32,80,~150g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Rumali Roti,3,1,1,20,0,150,1 piece ~40g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Mutton Korma,22,1,24,6,2,500,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Shami Kebab,18,2,14,10,1,450,2 pcs ~120g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Mughlai Chicken,24,1,20,8,3,500,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Pasanda,22,1,22,8,3,480,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Mutton Rogan Josh,24,1,22,6,2,550,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Kakori Kebab,20,1,16,6,1,480,2 pcs ~120g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Tunday Kebab,18,1,15,5,1,460,2 pcs ~100g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Chicken Stew (Awadhi),20,2,12,10,3,400,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Nahari Kulcha,18,2,20,35,2,550,~250g w/ kulcha,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Sheermal,6,1,8,40,6,250,1 piece ~90g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Zarda,3,1,8,50,30,40,~150g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
