origin_state_ut,destination_group_code,destination_group_name,home_state_signature_weight,current_city_lifestyle_weight,national_modern_weight,overlay_meal_classes,planning_rule
Arunachal Pradesh,HOME_STATE_TIER2,Home-state tier 2 city,0.8,0.15,0.05,BF_POHA_CHIVDA_LIGHT|LD_DAL_ROTI_SABZI|SN_TEA_BISCUIT_RUSK|DN_LIGHT_ROTI_SABZI,Use state signature strongly; lower delivery and more home food.
Arunachal Pradesh,MUMBAI_PUNE,Mumbai/Pune/Thane/Navi Mumbai,0.55,0.3,0.15,BF_POHA_CHIVDA_LIGHT|LD_MAHARASHTRIAN_PITLA_BHAKRI|LD_MODERN_SALAD_BOWL|SN_STREET_CHAAT|DN_LIGHT_ROTI_SABZI,"Add poha, chaat/vada-pav, office lunch, health bowl; keep home-state dinner 3-4 days."
Arunachal Pradesh,DELHI_NCR,Delhi NCR/Gurugram/Noida,0.55,0.3,0.15,BF_STUFFED_FLATBREAD|LD_RAJMA_CHOLE_LEGUME|LD_PANEER_RICH_GRAVY|LD_TANDOORI_GRILL_NONVEG|SN_STREET_CHAAT,Add paratha/chole/rajma/tandoori/delivery and North-style office eating.
Arunachal Pradesh,BENGALURU_HYD_CHENNAI,Bengaluru/Hyderabad/Chennai,0.55,0.3,0.15,BF_FERMENTED_CREPE_PAN|BF_STEAMED_FERMENTED_LIGHT|LD_SOUTH_SAMBAR_RASAM|LD_CHICKEN_BIRYANI_PULAO|LD_MODERN_SALAD_BOWL,"Add idli/dosa, rice meals, biryani where nonveg, tech-city health/delivery."
Arunachal Pradesh,KOLKATA_EAST,Kolkata/East metro,0.55,0.3,0.15,LD_BENGALI_VEG_DAL_BHAAT|LD_BENGALI_FISH_MEAL|SN_SWEET_REGIONAL|SN_STREET_CHAAT|BF_POHA_CHIVDA_LIGHT,"Add dal-bhaat-bhaja, fish if nonveg, sweets and chaats."
Arunachal Pradesh,AHMEDABAD_SURAT,Ahmedabad/Surat/Vadodara,0.55,0.3,0.15,BF_JAIN_BREAKFAST|LD_GUJARATI_THALI|LD_JAIN_NO_ROOT_MAIN|SN_STEAMED_SNACK|SN_NAMKEEN_CHIVDA,Add Gujarati/Jain/veg snack-heavy pattern; nonveg not assumed unless explicit.
Arunachal Pradesh,GOA_COASTAL,Goa/Kochi/Mangalore/coastal city,0.55,0.3,0.15,LD_FISH_CURRY_RICE|LD_COCONUT_VEG_STEW|LD_PRAWN_CRAB_COASTAL|BF_FERMENTED_CREPE_PAN|SN_NONVEG_SNACK,Add rice-fish/coastal coconut if nonveg; veg users get coconut stew/curd rice.
Arunachal Pradesh,PAN_INDIA_PG_HOSTEL,PG/hostel/corporate relocation,0.45,0.25,0.3,BF_BREAD_MODERN_FAST|LD_ONE_POT_PRESSURE|LD_OUTSIDE_DELIVERY_INDIAN|SN_MOMO_NOODLES_SNACK|DN_ONE_POT_DINNER,Higher outside/one-pot/bread/noodles; ask kitchen access before recipes.
Assam,HOME_STATE_TIER1,Home-state major city,0.7,0.2,0.1,BF_BREAD_MODERN_FAST|LD_MODERN_SALAD_BOWL|LD_OUTSIDE_DELIVERY_INDIAN|SN_BAKERY_CAFE,Use state signature with more delivery/modern breakfast.
Assam,HOME_STATE_TIER2,Home-state tier 2 city,0.8,0.15,0.05,BF_POHA_CHIVDA_LIGHT|LD_DAL_ROTI_SABZI|SN_TEA_BISCUIT_RUSK|DN_LIGHT_ROTI_SABZI,Use state signature strongly; lower delivery and more home food.
Assam,MUMBAI_PUNE,Mumbai/Pune/Thane/Navi Mumbai,0.55,0.3,0.15,BF_POHA_CHIVDA_LIGHT|LD_MAHARASHTRIAN_PITLA_BHAKRI|LD_MODERN_SALAD_BOWL|SN_STREET_CHAAT|DN_LIGHT_ROTI_SABZI,"Add poha, chaat/vada-pav, office lunch, health bowl; keep home-state dinner 3-4 days."
Assam,DELHI_NCR,Delhi NCR/Gurugram/Noida,0.55,0.3,0.15,BF_STUFFED_FLATBREAD|LD_RAJMA_CHOLE_LEGUME|LD_PANEER_RICH_GRAVY|LD_TANDOORI_GRILL_NONVEG|SN_STREET_CHAAT,Add paratha/chole/rajma/tandoori/delivery and North-style office eating.
Assam,BENGALURU_HYD_CHENNAI,Bengaluru/Hyderabad/Chennai,0.55,0.3,0.15,BF_FERMENTED_CREPE_PAN|BF_STEAMED_FERMENTED_LIGHT|LD_SOUTH_SAMBAR_RASAM|LD_CHICKEN_BIRYANI_PULAO|LD_MODERN_SALAD_BOWL,"Add idli/dosa, rice meals, biryani where nonveg, tech-city health/delivery."
Assam,KOLKATA_EAST,Kolkata/East metro,0.55,0.3,0.15,LD_BENGALI_VEG_DAL_BHAAT|LD_BENGALI_FISH_MEAL|SN_SWEET_REGIONAL|SN_STREET_CHAAT|BF_POHA_CHIVDA_LIGHT,"Add dal-bhaat-bhaja, fish if nonveg, sweets and chaats."
Assam,AHMEDABAD_SURAT,Ahmedabad/Surat/Vadodara,0.55,0.3,0.15,BF_JAIN_BREAKFAST|LD_GUJARATI_THALI|LD_JAIN_NO_ROOT_MAIN|SN_STEAMED_SNACK|SN_NAMKEEN_CHIVDA,Add Gujarati/Jain/veg snack-heavy pattern; nonveg not assumed unless explicit.
Assam,GOA_COASTAL,Goa/Kochi/Mangalore/coastal city,0.55,0.3,0.15,LD_FISH_CURRY_RICE|LD_COCONUT_VEG_STEW|LD_PRAWN_CRAB_COASTAL|BF_FERMENTED_CREPE_PAN|SN_NONVEG_SNACK,Add rice-fish/coastal coconut if nonveg; veg users get coconut stew/curd rice.
Assam,PAN_INDIA_PG_HOSTEL,PG/hostel/corporate relocation,0.45,0.25,0.3,BF_BREAD_MODERN_FAST|LD_ONE_POT_PRESSURE|LD_OUTSIDE_DELIVERY_INDIAN|SN_MOMO_NOODLES_SNACK|DN_ONE_POT_DINNER,Higher outside/one-pot/bread/noodles; ask kitchen access before recipes.
Bihar,HOME_STATE_TIER1,Home-state major city,0.7,0.2,0.1,BF_BREAD_MODERN_FAST|LD_MODERN_SALAD_BOWL|LD_OUTSIDE_DELIVERY_INDIAN|SN_BAKERY_CAFE,Use state signature with more delivery/modern breakfast.
Bihar,HOME_STATE_TIER2,Home-state tier 2 city,0.8,0.15,0.05,BF_POHA_CHIVDA_LIGHT|LD_DAL_ROTI_SABZI|SN_TEA_BISCUIT_RUSK|DN_LIGHT_ROTI_SABZI,Use state signature strongly; lower delivery and more home food.
Bihar,MUMBAI_PUNE,Mumbai/Pune/Thane/Navi Mumbai,0.55,0.3,0.15,BF_POHA_CHIVDA_LIGHT|LD_MAHARASHTRIAN_PITLA_BHAKRI|LD_MODERN_SALAD_BOWL|SN_STREET_CHAAT|DN_LIGHT_ROTI_SABZI,"Add poha, chaat/vada-pav, office lunch, health bowl; keep home-state dinner 3-4 days."
Bihar,DELHI_NCR,Delhi NCR/Gurugram/Noida,0.55,0.3,0.15,BF_STUFFED_FLATBREAD|LD_RAJMA_CHOLE_LEGUME|LD_PANEER_RICH_GRAVY|LD_TANDOORI_GRILL_NONVEG|SN_STREET_CHAAT,Add paratha/chole/rajma/tandoori/delivery and North-style office eating.
Bihar,BENGALURU_HYD_CHENNAI,Bengaluru/Hyderabad/Chennai,0.55,0.3,0.15,BF_FERMENTED_CREPE_PAN|BF_STEAMED_FERMENTED_LIGHT|LD_SOUTH_SAMBAR_RASAM|LD_CHICKEN_BIRYANI_PULAO|LD_MODERN_SALAD_BOWL,"Add idli/dosa, rice meals, biryani where nonveg, tech-city health/delivery."
Bihar,KOLKATA_EAST,Kolkata/East metro,0.55,0.3,0.15,LD_BENGALI_VEG_DAL_BHAAT|LD_BENGALI_FISH_MEAL|SN_SWEET_REGIONAL|SN_STREET_CHAAT|BF_POHA_CHIVDA_LIGHT,"Add dal-bhaat-bhaja, fish if nonveg, sweets and chaats."
Bihar,AHMEDABAD_SURAT,Ahmedabad/Surat/Vadodara,0.55,0.3,0.15,BF_JAIN_BREAKFAST|LD_GUJARATI_THALI|LD_JAIN_NO_ROOT_MAIN|SN_STEAMED_SNACK|SN_NAMKEEN_CHIVDA,Add Gujarati/Jain/veg snack-heavy pattern; nonveg not assumed unless explicit.
Bihar,GOA_COASTAL,Goa/Kochi/Mangalore/coastal city,0.55,0.3,0.15,LD_FISH_CURRY_RICE|LD_COCONUT_VEG_STEW|LD_PRAWN_CRAB_COASTAL|BF_FERMENTED_CREPE_PAN|SN_NONVEG_SNACK,Add rice-fish/coastal coconut if nonveg; veg users get coconut stew/curd rice.
Bihar,PAN_INDIA_PG_HOSTEL,PG/hostel/corporate relocation,0.45,0.25,0.3,BF_BREAD_MODERN_FAST|LD_ONE_POT_PRESSURE|LD_OUTSIDE_DELIVERY_INDIAN|SN_MOMO_NOODLES_SNACK|DN_ONE_POT_DINNER,Higher outside/one-pot/bread/noodles; ask kitchen access before recipes.
Chhattisgarh,HOME_STATE_TIER1,Home-state major city,0.7,0.2,0.1,BF_BREAD_MODERN_FAST|LD_MODERN_SALAD_BOWL|LD_OUTSIDE_DELIVERY_INDIAN|SN_BAKERY_CAFE,Use state signature with more delivery/modern breakfast.
Chhattisgarh,HOME_STATE_TIER2,Home-state tier 2 city,0.8,0.15,0.05,BF_POHA_CHIVDA_LIGHT|LD_DAL_ROTI_SABZI|SN_TEA_BISCUIT_RUSK|DN_LIGHT_ROTI_SABZI,Use state signature strongly; lower delivery and more home food.
Chhattisgarh,MUMBAI_PUNE,Mumbai/Pune/Thane/Navi Mumbai,0.55,0.3,0.15,BF_POHA_CHIVDA_LIGHT|LD_MAHARASHTRIAN_PITLA_BHAKRI|LD_MODERN_SALAD_BOWL|SN_STREET_CHAAT|DN_LIGHT_ROTI_SABZI,"Add poha, chaat/vada-pav, office lunch, health bowl; keep home-state dinner 3-4 days."
Chhattisgarh,DELHI_NCR,Delhi NCR/Gurugram/Noida,0.55,0.3,0.15,BF_STUFFED_FLATBREAD|LD_RAJMA_CHOLE_LEGUME|LD_PANEER_RICH_GRAVY|LD_TANDOORI_GRILL_NONVEG|SN_STREET_CHAAT,Add paratha/chole/rajma/tandoori/delivery and North-style office eating.
Chhattisgarh,BENGALURU_HYD_CHENNAI,Bengaluru/Hyderabad/Chennai,0.55,0.3,0.15,BF_FERMENTED_CREPE_PAN|BF_STEAMED_FERMENTED_LIGHT|LD_SOUTH_SAMBAR_RASAM|LD_CHICKEN_BIRYANI_PULAO|LD_MODERN_SALAD_BOWL,"Add idli/dosa, rice meals, biryani where nonveg, tech-city health/delivery."
Chhattisgarh,KOLKATA_EAST,Kolkata/East metro,0.55,0.3,0.15,LD_BENGALI_VEG_DAL_BHAAT|LD_BENGALI_FISH_MEAL|SN_SWEET_REGIONAL|SN_STREET_CHAAT|BF_POHA_CHIVDA_LIGHT,"Add dal-bhaat-bhaja, fish if nonveg, sweets and chaats."
Chhattisgarh,AHMEDABAD_SURAT,Ahmedabad/Surat/Vadodara,0.55,0.3,0.15,BF_JAIN_BREAKFAST|LD_GUJARATI_THALI|LD_JAIN_NO_ROOT_MAIN|SN_STEAMED_SNACK|SN_NAMKEEN_CHIVDA,Add Gujarati/Jain/veg snack-heavy pattern; nonveg not assumed unless explicit.
Chhattisgarh,GOA_COASTAL,Goa/Kochi/Mangalore/coastal city,0.55,0.3,0.15,LD_FISH_CURRY_RICE|LD_COCONUT_VEG_STEW|LD_PRAWN_CRAB_COASTAL|BF_FERMENTED_CREPE_PAN|SN_NONVEG_SNACK,Add rice-fish/coastal coconut if nonveg; veg users get coconut stew/curd rice.
Chhattisgarh,PAN_INDIA_PG_HOSTEL,PG/hostel/corporate relocation,0.45,0.25,0.3,BF_BREAD_MODERN_FAST|LD_ONE_POT_PRESSURE|LD_OUTSIDE_DELIVERY_INDIAN|SN_MOMO_NOODLES_SNACK|DN_ONE_POT_DINNER,Higher outside/one-pot/bread/noodles; ask kitchen access before recipes.
Goa,HOME_STATE_TIER1,Home-state major city,0.7,0.2,0.1,BF_BREAD_MODERN_FAST|LD_MODERN_SALAD_BOWL|LD_OUTSIDE_DELIVERY_INDIAN|SN_BAKERY_CAFE,Use state signature with more delivery/modern breakfast.
Goa,HOME_STATE_TIER2,Home-state tier 2 city,0.8,0.15,0.05,BF_POHA_CHIVDA_LIGHT|LD_DAL_ROTI_SABZI|SN_TEA_BISCUIT_RUSK|DN_LIGHT_ROTI_SABZI,Use state signature strongly; lower delivery and more home food.
Goa,MUMBAI_PUNE,Mumbai/Pune/Thane/Navi Mumbai,0.55,0.3,0.15,BF_POHA_CHIVDA_LIGHT|LD_MAHARASHTRIAN_PITLA_BHAKRI|LD_MODERN_SALAD_BOWL|SN_STREET_CHAAT|DN_LIGHT_ROTI_SABZI,"Add poha, chaat/vada-pav, office lunch, health bowl; keep home-state dinner 3-4 days."
Goa,DELHI_NCR,Delhi NCR/Gurugram/Noida,0.55,0.3,0.15,BF_STUFFED_FLATBREAD|LD_RAJMA_CHOLE_LEGUME|LD_PANEER_RICH_GRAVY|LD_TANDOORI_GRILL_NONVEG|SN_STREET_CHAAT,Add paratha/chole/rajma/tandoori/delivery and North-style office eating.
Goa,BENGALURU_HYD_CHENNAI,Bengaluru/Hyderabad/Chennai,0.55,0.3,0.15,BF_FERMENTED_CREPE_PAN|BF_STEAMED_FERMENTED_LIGHT|LD_SOUTH_SAMBAR_RASAM|LD_CHICKEN_BIRYANI_PULAO|LD_MODERN_SALAD_BOWL,"Add idli/dosa, rice meals, biryani where nonveg, tech-city health/delivery."
Goa,KOLKATA_EAST,Kolkata/East metro,0.55,0.3,0.15,LD_BENGALI_VEG_DAL_BHAAT|LD_BENGALI_FISH_MEAL|SN_SWEET_REGIONAL|SN_STREET_CHAAT|BF_POHA_CHIVDA_LIGHT,"Add dal-bhaat-bhaja, fish if nonveg, sweets and chaats."
Goa,AHMEDABAD_SURAT,Ahmedabad/Surat/Vadodara,0.55,0.3,0.15,BF_JAIN_BREAKFAST|LD_GUJARATI_THALI|LD_JAIN_NO_ROOT_MAIN|SN_STEAMED_SNACK|SN_NAMKEEN_CHIVDA,Add Gujarati/Jain/veg snack-heavy pattern; nonveg not assumed unless explicit.
Goa,GOA_COASTAL,Goa/Kochi/Mangalore/coastal city,0.55,0.3,0.15,LD_FISH_CURRY_RICE|LD_COCONUT_VEG_STEW|LD_PRAWN_CRAB_COASTAL|BF_FERMENTED_CREPE_PAN|SN_NONVEG_SNACK,Add rice-fish/coastal coconut if nonveg; veg users get coconut stew/curd rice.
Goa,PAN_INDIA_PG_HOSTEL,PG/hostel/corporate relocation,0.45,0.25,0.3,BF_BREAD_MODERN_FAST|LD_ONE_POT_PRESSURE|LD_OUTSIDE_DELIVERY_INDIAN|SN_MOMO_NOODLES_SNACK|DN_ONE_POT_DINNER,Higher outside/one-pot/bread/noodles; ask kitchen access before recipes.
Gujarat,HOME_STATE_TIER1,Home-state major city,0.7,0.2,0.1,BF_BREAD_MODERN_FAST|LD_MODERN_SALAD_BOWL|LD_OUTSIDE_DELIVERY_INDIAN|SN_BAKERY_CAFE,Use state signature with more delivery/modern breakfast.
Gujarat,HOME_STATE_TIER2,Home-state tier 2 city,0.8,0.15,0.05,BF_POHA_CHIVDA_LIGHT|LD_DAL_ROTI_SABZI|SN_TEA_BISCUIT_RUSK|DN_LIGHT_ROTI_SABZI,Use state signature strongly; lower delivery and more home food.
Gujarat,MUMBAI_PUNE,Mumbai/Pune/Thane/Navi Mumbai,0.55,0.3,0.15,BF_POHA_CHIVDA_LIGHT|LD_MAHARASHTRIAN_PITLA_BHAKRI|LD_MODERN_SALAD_BOWL|SN_STREET_CHAAT|DN_LIGHT_ROTI_SABZI,"Add poha, chaat/vada-pav, office lunch, health bowl; keep home-state dinner 3-4 days."
Gujarat,DELHI_NCR,Delhi NCR/Gurugram/Noida,0.55,0.3,0.15,BF_STUFFED_FLATBREAD|LD_RAJMA_CHOLE_LEGUME|LD_PANEER_RICH_GRAVY|LD_TANDOORI_GRILL_NONVEG|SN_STREET_CHAAT,Add paratha/chole/rajma/tandoori/delivery and North-style office eating.
Gujarat,BENGALURU_HYD_CHENNAI,Bengaluru/Hyderabad/Chennai,0.55,0.3,0.15,BF_FERMENTED_CREPE_PAN|BF_STEAMED_FERMENTED_LIGHT|LD_SOUTH_SAMBAR_RASAM|LD_CHICKEN_BIRYANI_PULAO|LD_MODERN_SALAD_BOWL,"Add idli/dosa, rice meals, biryani where nonveg, tech-city health/delivery."
Gujarat,KOLKATA_EAST,Kolkata/East metro,0.55,0.3,0.15,LD_BENGALI_VEG_DAL_BHAAT|LD_BENGALI_FISH_MEAL|SN_SWEET_REGIONAL|SN_STREET_CHAAT|BF_POHA_CHIVDA_LIGHT,"Add dal-bhaat-bhaja, fish if nonveg, sweets and chaats."
Gujarat,AHMEDABAD_SURAT,Ahmedabad/Surat/Vadodara,0.55,0.3,0.15,BF_JAIN_BREAKFAST|LD_GUJARATI_THALI|LD_JAIN_NO_ROOT_MAIN|SN_STEAMED_SNACK|SN_NAMKEEN_CHIVDA,Add Gujarati/Jain/veg snack-heavy pattern; nonveg not assumed unless explicit.
Gujarat,GOA_COASTAL,Goa/Kochi/Mangalore/coastal city,0.55,0.3,0.15,LD_FISH_CURRY_RICE|LD_COCONUT_VEG_STEW|LD_PRAWN_CRAB_COASTAL|BF_FERMENTED_CREPE_PAN|SN_NONVEG_SNACK,Add rice-fish/coastal coconut if nonveg; veg users get coconut stew/curd rice.
Gujarat,PAN_INDIA_PG_HOSTEL,PG/hostel/corporate relocation,0.45,0.25,0.3,BF_BREAD_MODERN_FAST|LD_ONE_POT_PRESSURE|LD_OUTSIDE_DELIVERY_INDIAN|SN_MOMO_NOODLES_SNACK|DN_ONE_POT_DINNER,Higher outside/one-pot/bread/noodles; ask kitchen access before recipes.
Haryana,HOME_STATE_TIER1,Home-state major city,0.7,0.2,0.1,BF_BREAD_MODERN_FAST|LD_MODERN_SALAD_BOWL|LD_OUTSIDE_DELIVERY_INDIAN|SN_BAKERY_CAFE,Use state signature with more delivery/modern breakfast.
Haryana,HOME_STATE_TIER2,Home-state tier 2 city,0.8,0.15,0.05,BF_POHA_CHIVDA_LIGHT|LD_DAL_ROTI_SABZI|SN_TEA_BISCUIT_RUSK|DN_LIGHT_ROTI_SABZI,Use state signature strongly; lower delivery and more home food.
Haryana,MUMBAI_PUNE,Mumbai/Pune/Thane/Navi Mumbai,0.55,0.3,0.15,BF_POHA_CHIVDA_LIGHT|LD_MAHARASHTRIAN_PITLA_BHAKRI|LD_MODERN_SALAD_BOWL|SN_STREET_CHAAT|DN_LIGHT_ROTI_SABZI,"Add poha, chaat/vada-pav, office lunch, health bowl; keep home-state dinner 3-4 days."
Haryana,DELHI_NCR,Delhi NCR/Gurugram/Noida,0.55,0.3,0.15,BF_STUFFED_FLATBREAD|LD_RAJMA_CHOLE_LEGUME|LD_PANEER_RICH_GRAVY|LD_TANDOORI_GRILL_NONVEG|SN_STREET_CHAAT,Add paratha/chole/rajma/tandoori/delivery and North-style office eating.
Haryana,BENGALURU_HYD_CHENNAI,Bengaluru/Hyderabad/Chennai,0.55,0.3,0.15,BF_FERMENTED_CREPE_PAN|BF_STEAMED_FERMENTED_LIGHT|LD_SOUTH_SAMBAR_RASAM|LD_CHICKEN_BIRYANI_PULAO|LD_MODERN_SALAD_BOWL,"Add idli/dosa, rice meals, biryani where nonveg, tech-city health/delivery."
Haryana,KOLKATA_EAST,Kolkata/East metro,0.55,0.3,0.15,LD_BENGALI_VEG_DAL_BHAAT|LD_BENGALI_FISH_MEAL|SN_SWEET_REGIONAL|SN_STREET_CHAAT|BF_POHA_CHIVDA_LIGHT,"Add dal-bhaat-bhaja, fish if nonveg, sweets and chaats."
Haryana,AHMEDABAD_SURAT,Ahmedabad/Surat/Vadodara,0.55,0.3,0.15,BF_JAIN_BREAKFAST|LD_GUJARATI_THALI|LD_JAIN_NO_ROOT_MAIN|SN_STEAMED_SNACK|SN_NAMKEEN_CHIVDA,Add Gujarati/Jain/veg snack-heavy pattern; nonveg not assumed unless explicit.
Haryana,GOA_COASTAL,Goa/Kochi/Mangalore/coastal city,0.55,0.3,0.15,LD_FISH_CURRY_RICE|LD_COCONUT_VEG_STEW|LD_PRAWN_CRAB_COASTAL|BF_FERMENTED_CREPE_PAN|SN_NONVEG_SNACK,Add rice-fish/coastal coconut if nonveg; veg users get coconut stew/curd rice.
Haryana,PAN_INDIA_PG_HOSTEL,PG/hostel/corporate relocation,0.45,0.25,0.3,BF_BREAD_MODERN_FAST|LD_ONE_POT_PRESSURE|LD_OUTSIDE_DELIVERY_INDIAN|SN_MOMO_NOODLES_SNACK|DN_ONE_POT_DINNER,Higher outside/one-pot/bread/noodles; ask kitchen access before recipes.
Himachal Pradesh,HOME_STATE_TIER1,Home-state major city,0.7,0.2,0.1,BF_BREAD_MODERN_FAST|LD_MODERN_SALAD_BOWL|LD_OUTSIDE_DELIVERY_INDIAN|SN_BAKERY_CAFE,Use state signature with more delivery/modern breakfast.
Himachal Pradesh,HOME_STATE_TIER2,Home-state tier 2 city,0.8,0.15,0.05,BF_POHA_CHIVDA_LIGHT|LD_DAL_ROTI_SABZI|SN_TEA_BISCUIT_RUSK|DN_LIGHT_ROTI_SABZI,Use state signature strongly; lower delivery and more home food.
Himachal Pradesh,MUMBAI_PUNE,Mumbai/Pune/Thane/Navi Mumbai,0.55,0.3,0.15,BF_POHA_CHIVDA_LIGHT|LD_MAHARASHTRIAN_PITLA_BHAKRI|LD_MODERN_SALAD_BOWL|SN_STREET_CHAAT|DN_LIGHT_ROTI_SABZI,"Add poha, chaat/vada-pav, office lunch, health bowl; keep home-state dinner 3-4 days."
Himachal Pradesh,DELHI_NCR,Delhi NCR/Gurugram/Noida,0.55,0.3,0.15,BF_STUFFED_FLATBREAD|LD_RAJMA_CHOLE_LEGUME|LD_PANEER_RICH_GRAVY|LD_TANDOORI_GRILL_NONVEG|SN_STREET_CHAAT,Add paratha/chole/rajma/tandoori/delivery and North-style office eating.
Himachal Pradesh,BENGALURU_HYD_CHENNAI,Bengaluru/Hyderabad/Chennai,0.55,0.3,0.15,BF_FERMENTED_CREPE_PAN|BF_STEAMED_FERMENTED_LIGHT|LD_SOUTH_SAMBAR_RASAM|LD_CHICKEN_BIRYANI_PULAO|LD_MODERN_SALAD_BOWL,"Add idli/dosa, rice meals, biryani where nonveg, tech-city health/delivery."
Himachal Pradesh,KOLKATA_EAST,Kolkata/East metro,0.55,0.3,0.15,LD_BENGALI_VEG_DAL_BHAAT|LD_BENGALI_FISH_MEAL|SN_SWEET_REGIONAL|SN_STREET_CHAAT|BF_POHA_CHIVDA_LIGHT,"Add dal-bhaat-bhaja, fish if nonveg, sweets and chaats."
Himachal Pradesh,AHMEDABAD_SURAT,Ahmedabad/Surat/Vadodara,0.55,0.3,0.15,BF_JAIN_BREAKFAST|LD_GUJARATI_THALI|LD_JAIN_NO_ROOT_MAIN|SN_STEAMED_SNACK|SN_NAMKEEN_CHIVDA,Add Gujarati/Jain/veg snack-heavy pattern; nonveg not assumed unless explicit.
Himachal Pradesh,GOA_COASTAL,Goa/Kochi/Mangalore/coastal city,0.55,0.3,0.15,LD_FISH_CURRY_RICE|LD_COCONUT_VEG_STEW|LD_PRAWN_CRAB_COASTAL|BF_FERMENTED_CREPE_PAN|SN_NONVEG_SNACK,Add rice-fish/coastal coconut if nonveg; veg users get coconut stew/curd rice.
Himachal Pradesh,PAN_INDIA_PG_HOSTEL,PG/hostel/corporate relocation,0.45,0.25,0.3,BF_BREAD_MODERN_FAST|LD_ONE_POT_PRESSURE|LD_OUTSIDE_DELIVERY_INDIAN|SN_MOMO_NOODLES_SNACK|DN_ONE_POT_DINNER,Higher outside/one-pot/bread/noodles; ask kitchen access before recipes.
Jharkhand,HOME_STATE_TIER1,Home-state major city,0.7,0.2,0.1,BF_BREAD_MODERN_FAST|LD_MODERN_SALAD_BOWL|LD_OUTSIDE_DELIVERY_INDIAN|SN_BAKERY_CAFE,Use state signature with more delivery/modern breakfast.
Jharkhand,HOME_STATE_TIER2,Home-state tier 2 city,0.8,0.15,0.05,BF_POHA_CHIVDA_LIGHT|LD_DAL_ROTI_SABZI|SN_TEA_BISCUIT_RUSK|DN_LIGHT_ROTI_SABZI,Use state signature strongly; lower delivery and more home food.
