persona_id,persona_name,age_band,household_stage,lifecycle_health,cook_dependency,time_pressure,nonveg_mode,bf_boost_classes,ld_boost_classes,sn_boost_classes,dn_boost_classes,main_cohort_id,sub_cohort_id,sub_cohort_label,can_be_overlay
P11,Nuclear family with school kids,32-48,family kids,school kids,cook/mother-managed,high,default,BF_KID_TIFFIN|BF_STUFFED_FLATBREAD|BF_FERMENTED_CREPE_PAN,LD_DAL_ROTI_SABZI|LD_CHILD_MILD_PLATE|LD_PANEER_HOME_DRY,SN_KIDS_TIFFIN_SNACK|SN_STREET_CHAAT,DN_CHILD_FRIENDLY_DINNER|DN_FAMILY_COMFORT_MEAL,MC3,SC3B,family_with_school_kids,N
P12,Family with teenagers,38-55,family teens,teen/high appetite,cook/self,medium,default,BF_STUFFED_FLATBREAD|BF_EGG_FAST|BF_CHILLA_PROTEIN,LD_TEEN_HIGH_CALORIE|LD_RAJMA_CHOLE_LEGUME|LD_CHICKEN_HOME_CURRY,SN_HEALTHY_PROTEIN_SNACK|SN_NONVEG_SNACK,DN_FAMILY_COMFORT_MEAL|DN_WEEKEND_INDULGENCE,MC3,SC3C,family_with_teenagers,N
P13,Joint/multi-generation family,35-65,joint family,elder + child,home cook/skilled cook,medium,default,BF_STUFFED_FLATBREAD|BF_STEAMED_FERMENTED_LIGHT|BF_POHA_CHIVDA_LIGHT,LD_DAL_ROTI_SABZI|LD_SIMPLE_GREEN_VEG_SABZI|LD_ELDERLY_SOFT_DIGESTIVE|LD_FESTIVE_THALI,SN_TEA_BISCUIT_RUSK|SN_FRIED_PAKORA_SAMOSA,DN_FAMILY_COMFORT_MEAL|DN_EARLY_ELDERLY_DINNER,MC4,SC4A,joint_multigeneration,N
P14,Elderly couple,60+,elderly couple,elderly,self/caregiver,low,veg_default,BF_DIABETIC_LOW_GI|BF_STEAMED_FERMENTED_LIGHT|BF_UPMA_DALIA_SEVAI,LD_ELDERLY_SOFT_DIGESTIVE|LD_LIGHT_KHICHDI|LD_GOURD_PUMPKIN_LIGHT,SN_FRUIT_CHAAT|SN_CURD_CHAAS_LASSI,DN_EARLY_ELDERLY_DINNER|DN_KHICHDI_SOUP,MC4,SC4B,elderly_couple,N
P15,Diabetic / low-GI household,35-65,health condition,diabetes,self/cook,medium,health_veg_or_default,BF_DIABETIC_LOW_GI|BF_CHILLA_PROTEIN|BF_SPROUTS_FRUIT_CURD,LD_LOW_CARB_PROTEIN_PLATE|LD_HIGH_PROTEIN_VEG_PLATE|LD_SIMPLE_GREEN_VEG_SABZI,SN_ROASTED_CHANA_NUTS|SN_HEALTHY_PROTEIN_SNACK,DN_LOW_CARB_DINNER|DN_KHICHDI_SOUP,MC4,SC4D,diabetic_low_gi_household,Y
P16,Hypertension / heart conscious,35-65,health condition,BP/heart,self/cook,medium,health_veg_or_default,BF_STEAMED_FERMENTED_LIGHT|BF_OATS_MUESLI_FIT|BF_DIABETIC_LOW_GI,LD_GOURD_PUMPKIN_LIGHT|LD_ELDERLY_SOFT_DIGESTIVE|LD_MODERN_SALAD_BOWL,SN_FRUIT_CHAAT|SN_ROASTED_CHANA_NUTS,DN_LIGHT_DAL_RICE|DN_LOW_CARB_DINNER,MC4,SC4E,bp_heart_conscious,Y
P17,Weight loss / calorie conscious,22-45,health/fitness,weight loss,self/cook,high,health_veg_or_default,BF_OATS_MUESLI_FIT|BF_SPROUTS_FRUIT_CURD|BF_CHILLA_PROTEIN,LD_MODERN_SALAD_BOWL|LD_LOW_CARB_PROTEIN_PLATE|LD_HIGH_PROTEIN_VEG_PLATE,SN_HEALTHY_PROTEIN_SNACK|SN_FRUIT_CHAAT,DN_LOW_CARB_DINNER|DN_GRILLED_TIKKA_BOWL,MC5,SC5A,weight_loss_calorie_conscious,Y
P18,Gym/high-protein nonveg or egg-friendly,18-40,fitness,gym/high protein,self/cook,medium,protein_nonveg,BF_EGG_FAST|BF_CHILLA_PROTEIN|BF_SPROUTS_FRUIT_CURD,LD_LOW_CARB_PROTEIN_PLATE|LD_CHICKEN_HOME_CURRY|LD_EGG_CURRY_BHURJI|LD_HIGH_PROTEIN_VEG_PLATE,SN_EGG_SNACK|SN_HEALTHY_PROTEIN_SNACK,DN_GRILLED_TIKKA_BOWL|DN_NONVEG_HOME_DINNER,MC5,SC5B,gym_high_protein,Y
P19,Vegetarian protein seeker,22-50,veg health,veg protein,self/cook,medium,veg_only,BF_CHILLA_PROTEIN|BF_SPROUTS_FRUIT_CURD|BF_DIABETIC_LOW_GI,LD_HIGH_PROTEIN_VEG_PLATE|LD_SOY_TOFU_PROTEIN|LD_RAJMA_CHOLE_LEGUME,SN_ROASTED_CHANA_NUTS|SN_HEALTHY_PROTEIN_SNACK,DN_LOW_CARB_DINNER|DN_LIGHT_DAL_RICE,MC5,SC5C,vegetarian_protein,Y
P20,Strict Jain household,25-65,jain family,Jain,home cook,medium,jain,BF_JAIN_BREAKFAST|BF_SPROUTS_FRUIT_CURD,LD_JAIN_NO_ROOT_MAIN|LD_GUJARATI_THALI|LD_LIGHT_KHICHDI,SN_STEAMED_SNACK|SN_FRUIT_CHAAT,DN_LIGHT_DAL_RICE|DN_FASTING_DINNER,MC5,SC5D,strict_jain,N
P21,Fasting/ritual observant household,25-65,religious/ritual,fasting,home cook,medium,veg_default,BF_FASTING_PHALAHARI|BF_JAIN_BREAKFAST,LD_FASTING_MAIN|LD_LIGHT_KHICHDI|LD_DAL_RICE_COMFORT,SN_FASTING_SNACK|SN_FRUIT_CHAAT,DN_FASTING_DINNER|DN_KHICHDI_SOUP,MC5,SC5E,fasting_ritual,N
P22,Cook-assisted household: skilled cook,32-60,family with cook,none,skilled cook,low,default,BF_STUFFED_FLATBREAD|BF_FERMENTED_CREPE_PAN|BF_FRIED_FESTIVE,LD_DAL_ROTI_SABZI|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI,SN_FRIED_PAKORA_SAMOSA|SN_STREET_CHAAT,DN_FAMILY_COMFORT_MEAL|DN_WEEKEND_INDULGENCE,MC5,SC5F,cook_assisted_skilled,Y
P23,Cook-assisted: needs constant instruction,28-50,working family with cook,none,cook needs instruction,medium,default,BF_POHA_CHIVDA_LIGHT|BF_UPMA_DALIA_SEVAI|BF_PLAIN_FLATBREAD_SUBZI,LD_SIMPLE_GREEN_VEG_SABZI|LD_DAL_ROTI_SABZI|LD_ONE_POT_PRESSURE,SN_TEA_BISCUIT_RUSK|SN_LEFTOVER_ROLL,DN_LIGHT_ROTI_SABZI|DN_LEFTOVER_THALI,MC5,SC5G,cook_needs_instruction,Y
P24,Working woman managing cook + office,28-48,working family,none,cook + owner supervision,very high,default,BF_POHA_CHIVDA_LIGHT|BF_KID_TIFFIN|BF_CHILLA_PROTEIN,LD_DAL_ROTI_SABZI|LD_SIMPLE_GREEN_VEG_SABZI|LD_LEFTOVER_REUSE,SN_KIDS_TIFFIN_SNACK|SN_ROASTED_CHANA_NUTS,DN_ONE_POT_DINNER|DN_LIGHT_ROTI_SABZI,MC5,SC5H,working_woman_managing_cook,Y
P25,Maid-dependent minimal cooking / batch cook,25-55,busy household,none,maid/helper/low cook,very high,default,BF_BREAD_MODERN_FAST|BF_POHA_CHIVDA_LIGHT|BF_UPMA_DALIA_SEVAI,LD_LEFTOVER_REUSE|LD_ONE_POT_PRESSURE|LD_DAL_RICE_COMFORT,SN_LEFTOVER_ROLL|SN_NAMKEEN_CHIVDA,DN_LEFTOVER_THALI|DN_ONE_POT_DINNER,MC5,SC5I,maid_dependent_batch_cook,Y
P26,Budget/value-conscious family,25-55,family,budget,self/cook,medium,budget_default,BF_POHA_CHIVDA_LIGHT|BF_PLAIN_FLATBREAD_SUBZI|BF_UPMA_DALIA_SEVAI,LD_DAL_ROTI_SABZI|LD_SIMPLE_GREEN_VEG_SABZI|LD_LIGHT_KHICHDI,SN_TEA_BISCUIT_RUSK|SN_ROASTED_CHANA_NUTS,DN_LIGHT_DAL_RICE|DN_LIGHT_ROTI_SABZI,MC3,SC3E,budget_family,N
P27,Premium experimental foodie,25-50,couple/family,foodie,self/cook/delivery,low,default,BF_OUTSIDE_CAFE_BRUNCH|BF_FERMENTED_CREPE_PAN|BF_FRIED_FESTIVE,LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_OUTSIDE_DELIVERY_INDIAN,SN_BAKERY_CAFE|SN_STREET_CHAAT,DN_WEEKEND_INDULGENCE|DN_FAMILY_COMFORT_MEAL,MC5,SC5J,premium_experimental_foodie,N
P28,Migrant in metro preserving home-state food,22-50,migrant,migration,self/cook/delivery,medium,default,BF_POHA_CHIVDA_LIGHT|BF_STUFFED_FLATBREAD|BF_FERMENTED_CREPE_PAN,LD_DAL_ROTI_SABZI|LD_WEEKEND_SPECIAL_REGIONAL|LD_OUTSIDE_DELIVERY_INDIAN,SN_STREET_CHAAT|SN_NAMKEEN_CHIVDA,DN_FAMILY_COMFORT_MEAL|DN_LIGHT_ROTI_SABZI,MC1,SC1E,migrant_adult_home_state,Y
P29,Inter-state couple / mixed cuisine household,24-45,couple/family,migration/mixed,self/cook,medium,default,BF_FERMENTED_CREPE_PAN|BF_STUFFED_FLATBREAD|BF_POHA_CHIVDA_LIGHT,LD_DAL_ROTI_SABZI|LD_SOUTH_SAMBAR_RASAM|LD_WEEKEND_SPECIAL_REGIONAL,SN_STEAMED_SNACK|SN_STREET_CHAAT,DN_FAMILY_COMFORT_MEAL|DN_WEEKEND_INDULGENCE,MC2,SC2G,interstate_couple_mixed_cuisine,Y
P30,Regular non-veg household,25-55,family/couple,nonveg,home cook,medium,regular_nonveg,BF_EGG_FAST|BF_STUFFED_FLATBREAD|BF_FERMENTED_CREPE_PAN,LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_EGG_CURRY_BHURJI|LD_DAL_ROTI_SABZI,SN_EGG_SNACK|SN_NONVEG_SNACK,DN_NONVEG_HOME_DINNER|DN_FAMILY_COMFORT_MEAL,MC5,SC5K,regular_nonveg_household,Y
P31,Eggitarian / low-meat household,22-55,couple/family,eggitarian,self/cook,medium,egg_only,BF_EGG_FAST|BF_CHILLA_PROTEIN|BF_POHA_CHIVDA_LIGHT,LD_EGG_CURRY_BHURJI|LD_EGG_RICE_MEAL|LD_HIGH_PROTEIN_VEG_PLATE,SN_EGG_SNACK|SN_ROASTED_CHANA_NUTS,DN_LIGHT_DAL_RICE|DN_LOW_CARB_DINNER,MC5,SC5L,eggitarian_low_meat,Y
P32,Seafood/coastal non-veg household,25-60,family/couple,seafood,home cook,medium,seafood,BF_FERMENTED_CREPE_PAN|BF_RICE_LEFTOVER_BREAKFAST|BF_EGG_FAST,LD_FISH_CURRY_RICE|LD_FISH_FRY_MEAL|LD_PRAWN_CRAB_COASTAL|LD_COCONUT_VEG_STEW,SN_NONVEG_SNACK|SN_SOUTH_TIFFIN_SNACK,DN_NONVEG_HOME_DINNER|DN_CURD_RICE_LIGHT,MC5,SC5M,seafood_coastal_nonveg,Y
P33,Mutton/Sunday special non-veg household,30-60,family,mutton weekend,home cook,medium,sunday_mutton,BF_STUFFED_FLATBREAD|BF_POHA_CHIVDA_LIGHT|BF_EGG_FAST,LD_DAL_ROTI_SABZI|LD_CHICKEN_HOME_CURRY|LD_MUTTON_SUNDAY_CURRY|LD_MUSLIM_BIRYANI_KORMA,SN_NONVEG_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_WEEKEND_INDULGENCE|DN_NONVEG_HOME_DINNER,MC5,SC5N,sunday_mutton_nonveg,Y
P34,"Vegetarian home, occasional outside non-veg",22-50,couple/family,outside nonveg,home veg + outside,medium,outside_nonveg,BF_POHA_CHIVDA_LIGHT|BF_STUFFED_FLATBREAD|BF_CHILLA_PROTEIN,LD_DAL_ROTI_SABZI|LD_PANEER_HOME_DRY|LD_SUNDAY_OUTSIDE_NONVEG,SN_STREET_CHAAT|SN_NAMKEEN_CHIVDA,DN_WEEKEND_INDULGENCE|DN_LIGHT_ROTI_SABZI,MC5,SC5O,home_veg_outside_nonveg,Y
P35,Child picky eater household,28-45,family kids,picky child,cook/mother-managed,very high,default,BF_KID_TIFFIN|BF_BREAD_MODERN_FAST|BF_STEAMED_FERMENTED_LIGHT,LD_CHILD_MILD_PLATE|LD_PANEER_HOME_DRY|LD_SIMPLE_GREEN_VEG_SABZI,SN_KIDS_TIFFIN_SNACK|SN_FRUIT_CHAAT,DN_CHILD_FRIENDLY_DINNER|DN_FAMILY_COMFORT_MEAL,MC3,SC3D,child_picky_eater,N
P36,Recovery/senior digestive light household,35-70,recovery/elderly,recovery,caregiver/self,medium,health_veg_or_default,BF_DIABETIC_LOW_GI|BF_STEAMED_FERMENTED_LIGHT|BF_UPMA_DALIA_SEVAI,LD_RECOVERY_SOFT_PROTEIN|LD_ELDERLY_SOFT_DIGESTIVE|LD_LIGHT_KHICHDI,SN_FRUIT_CHAAT|SN_CURD_CHAAS_LASSI,DN_EARLY_ELDERLY_DINNER|DN_KHICHDI_SOUP,MC4,SC4C,recovery_senior_light,Y
P37,Flatmates shared kitchen,18-32,flatmates,none,shared kitchen/low coordination,high,default,BF_BREAD_MODERN_FAST|BF_POHA_CHIVDA_LIGHT|BF_EGG_FAST,LD_ONE_POT_PRESSURE|LD_OUTSIDE_DELIVERY_INDIAN|LD_INDO_CHINESE_MEAL,SN_MOMO_NOODLES_SNACK|SN_NAMKEEN_CHIVDA,DN_ONE_POT_DINNER|DN_WEEKEND_INDULGENCE,MC1,SC1D,flatmates_shared_kitchen,N
P38,Field-work heavy breakfast household,22-55,working/field,field work,self/cook,medium,default,BF_FIELD_WORK_HEAVY|BF_STUFFED_FLATBREAD|BF_EGG_FAST,LD_DAL_ROTI_SABZI|LD_TEEN_HIGH_CALORIE|LD_CHICKEN_HOME_CURRY,SN_CURD_CHAAS_LASSI|SN_ROASTED_CHANA_NUTS,DN_FAMILY_COMFORT_MEAL|DN_LIGHT_DAL_RICE,MC5,SC5P,field_work_heavy_breakfast,N
P39,Desk-job sedentary household,25-55,working desk,sedentary,self/cook/cook,high,health_veg_or_default,BF_CHILLA_PROTEIN|BF_OATS_MUESLI_FIT|BF_SPROUTS_FRUIT_CURD,LD_MODERN_SALAD_BOWL|LD_SIMPLE_GREEN_VEG_SABZI|LD_HIGH_PROTEIN_VEG_PLATE,SN_OFFICE_PANTRY|SN_FRUIT_CHAAT,DN_LOW_CARB_DINNER|DN_KHICHDI_SOUP,MC1,SC1F,desk_job_sedentary,Y
P40,Home-maker elaborate cooking family,30-60,family,none,home-maker skilled cook,low,default,BF_STUFFED_FLATBREAD|BF_FERMENTED_CREPE_PAN|BF_POHA_CHIVDA_LIGHT,LD_DAL_ROTI_SABZI|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI,SN_FRIED_PAKORA_SAMOSA|SN_SOUTH_TIFFIN_SNACK,DN_FAMILY_COMFORT_MEAL|DN_LIGHT_ROTI_SABZI,MC3,SC3F,homemaker_elaborate_family,Y
P41,Composite family: child + diabetic/elderly member,30-65,family overlap,child + diabetes/elderly,cook/self with split plates,high,default,BF_POHA_CHIVDA_LIGHT|BF_UPMA_DALIA_SEVAI|BF_CHILLA_PROTEIN|BF_DIABETIC_LOW_GI,LD_DAL_ROTI_SABZI|LD_SIMPLE_GREEN_VEG_SABZI|LD_GOURD_PUMPKIN_LIGHT|LD_HIGH_PROTEIN_VEG_PLATE|LD_LIGHT_KHICHDI,SN_FRUIT_CHAAT|SN_ROASTED_CHANA_NUTS|SN_CURD_CHAAS_LASSI|SN_KIDS_TIFFIN_SNACK,DN_LIGHT_ROTI_SABZI|DN_LIGHT_DAL_RICE|DN_KHICHDI_SOUP|DN_MILLET_LIGHT_DINNER,MC4,SC4F,child_plus_diabetic_elder_overlap,Y
