meal_class_code,dish_name,diet_type,slot_group
BF_SPROUTS_FRUIT_CURD,Chana salad,veg,Breakfast
BF_SPROUTS_FRUIT_CURD,Papaya curd,veg,Breakfast
BF_SPROUTS_FRUIT_CURD,Apple peanut bowl,veg,Breakfast
BF_RICE_LEFTOVER_BREAKFAST,Lemon rice,veg,Breakfast
BF_RICE_LEFTOVER_BREAKFAST,Curd rice,veg,Breakfast
BF_RICE_LEFTOVER_BREAKFAST,Tamarind rice,veg,Breakfast
BF_RICE_LEFTOVER_BREAKFAST,Tomato rice,veg,Breakfast
BF_RICE_LEFTOVER_BREAKFAST,Pakhala morning,veg,Breakfast
BF_RICE_LEFTOVER_BREAKFAST,Phodnicha bhaat,veg,Breakfast
BF_RICE_LEFTOVER_BREAKFAST,Puliyogare,veg,Breakfast
BF_RICE_LEFTOVER_BREAKFAST,Coconut rice,veg,Breakfast
BF_MILLET_TRADITIONAL,Ragi dosa,veg,Breakfast
BF_MILLET_TRADITIONAL,Ragi mudde sambar,veg,Breakfast
BF_MILLET_TRADITIONAL,Jowar bhakri,veg,Breakfast
BF_MILLET_TRADITIONAL,Bajra rotla,veg,Breakfast
BF_MILLET_TRADITIONAL,Kodo upma,veg,Breakfast
BF_MILLET_TRADITIONAL,Ragi malt,veg,Breakfast
BF_MILLET_TRADITIONAL,Thalipeeth,veg,Breakfast
BF_MILLET_TRADITIONAL,Bajra khichdi,veg,Breakfast
BF_REGIONAL_BIHAR_EAST,Litti chokha,veg,Breakfast
BF_REGIONAL_BIHAR_EAST,Sattu paratha,veg,Breakfast
BF_REGIONAL_BIHAR_EAST,Chura dahi gur,veg,Breakfast
BF_REGIONAL_BIHAR_EAST,Ghugni chura,veg,Breakfast
BF_REGIONAL_BIHAR_EAST,Dahi chuda,veg,Breakfast
BF_REGIONAL_BIHAR_EAST,Sattu drink,veg,Breakfast
BF_REGIONAL_BIHAR_EAST,Pitha,veg,Breakfast
BF_REGIONAL_BIHAR_EAST,Chana ghugni,veg,Breakfast
BF_REGIONAL_PUNJAB_HARYANA,Paratha curd,veg,Breakfast
BF_REGIONAL_PUNJAB_HARYANA,Makki roti white butter,veg,Breakfast
BF_REGIONAL_PUNJAB_HARYANA,Paneer bhurji roti,veg,Breakfast
BF_REGIONAL_PUNJAB_HARYANA,Lassi breakfast,veg,Breakfast
BF_REGIONAL_PUNJAB_HARYANA,Missi roti,veg,Breakfast
BF_REGIONAL_PUNJAB_HARYANA,Methi paratha,veg,Breakfast
BF_REGIONAL_PUNJAB_HARYANA,Dahi aloo paratha,veg,Breakfast
BF_REGIONAL_PUNJAB_HARYANA,Chole kulche,veg,Breakfast
BF_REGIONAL_NORTHEAST,Rice porridge,mixed,Breakfast
BF_REGIONAL_NORTHEAST,Sticky rice,mixed,Breakfast
BF_REGIONAL_NORTHEAST,Black rice kheer,mixed,Breakfast
BF_REGIONAL_NORTHEAST,Lai patta stir fry rice,mixed,Breakfast
BF_REGIONAL_NORTHEAST,Smoked meat rice,mixed,Breakfast
BF_REGIONAL_NORTHEAST,Rice pancake,mixed,Breakfast
BF_REGIONAL_NORTHEAST,Chak-hao pudding,mixed,Breakfast
BF_REGIONAL_NORTHEAST,Bamboo shoot rice,mixed,Breakfast
BF_KID_TIFFIN,Mini idli,veg,Breakfast
BF_KID_TIFFIN,Paratha roll,veg,Breakfast
BF_KID_TIFFIN,Veg sandwich,veg,Breakfast
BF_KID_TIFFIN,Cheese dosa,veg,Breakfast
BF_KID_TIFFIN,Poha balls,veg,Breakfast
BF_KID_TIFFIN,Idli podi,veg,Breakfast
BF_KID_TIFFIN,Mini uttapam,veg,Breakfast
BF_KID_TIFFIN,Stuffed cheela roll,veg,Breakfast
BF_INFANT_6M_SOFT,Mashed dal rice,veg,Breakfast
BF_INFANT_6M_SOFT,Suji kheer,veg,Breakfast
BF_INFANT_6M_SOFT,Ragi porridge,veg,Breakfast
BF_INFANT_6M_SOFT,Mashed banana,veg,Breakfast
BF_INFANT_6M_SOFT,Apple puree,veg,Breakfast
BF_INFANT_6M_SOFT,Soft khichdi,veg,Breakfast
BF_INFANT_6M_SOFT,Mashed sweet potato,veg,Breakfast
BF_INFANT_6M_SOFT,Rice kanji,veg,Breakfast
BF_LACTATION_MOTHER,Dalia with milk,veg,Breakfast
BF_LACTATION_MOTHER,Panjiri portion,veg,Breakfast
BF_LACTATION_MOTHER,Methi paratha,veg,Breakfast
BF_LACTATION_MOTHER,Ajwain paratha,veg,Breakfast
BF_LACTATION_MOTHER,Gond ladoo milk,veg,Breakfast
BF_LACTATION_MOTHER,Moong dal chilla,veg,Breakfast
BF_LACTATION_MOTHER,Ragi malt,veg,Breakfast
BF_LACTATION_MOTHER,Dry fruit milk,veg,Breakfast
BF_DIABETIC_LOW_GI,Methi chilla,veg,Breakfast
BF_DIABETIC_LOW_GI,Oats upma,veg,Breakfast
BF_DIABETIC_LOW_GI,Ragi dosa,veg,Breakfast
BF_DIABETIC_LOW_GI,Vegetable dalia,veg,Breakfast
BF_DIABETIC_LOW_GI,Besan roti,veg,Breakfast
BF_DIABETIC_LOW_GI,Moong dal dosa,veg,Breakfast
BF_DIABETIC_LOW_GI,Sprouts poha,veg,Breakfast
BF_DIABETIC_LOW_GI,Paneer bhurji roti,veg,Breakfast
BF_JAIN_BREAKFAST,Jain poha,veg,Breakfast
BF_JAIN_BREAKFAST,Dhokla no garlic,veg,Breakfast
BF_JAIN_BREAKFAST,Thepla curd,veg,Breakfast
BF_JAIN_BREAKFAST,Handvo no onion garlic,veg,Breakfast
BF_JAIN_BREAKFAST,Fruit nuts,veg,Breakfast
BF_JAIN_BREAKFAST,Moong dal chilla no onion,veg,Breakfast
BF_JAIN_BREAKFAST,Jain upma,veg,Breakfast
BF_JAIN_BREAKFAST,Fafda chutney no garlic,veg,Breakfast
BF_FASTING_PHALAHARI,Sabudana khichdi,veg,Breakfast
BF_FASTING_PHALAHARI,Rajgira chilla,veg,Breakfast
BF_FASTING_PHALAHARI,Kuttu paratha,veg,Breakfast
BF_FASTING_PHALAHARI,Fruit curd,veg,Breakfast
BF_FASTING_PHALAHARI,Makhana,veg,Breakfast
BF_FASTING_PHALAHARI,Samak rice upma,veg,Breakfast
BF_FASTING_PHALAHARI,Singhara cheela,veg,Breakfast
BF_FASTING_PHALAHARI,Peanut potato vrat bowl,veg,Breakfast
BF_OUTSIDE_CAFE_BRUNCH,Pav bhaji brunch,mixed,Breakfast
BF_OUTSIDE_CAFE_BRUNCH,Cafe dosa,mixed,Breakfast
BF_OUTSIDE_CAFE_BRUNCH,Chole kulcha,mixed,Breakfast
BF_OUTSIDE_CAFE_BRUNCH,Grilled sandwich,mixed,Breakfast
BF_OUTSIDE_CAFE_BRUNCH,Paratha cafe platter,mixed,Breakfast
BF_OUTSIDE_CAFE_BRUNCH,English breakfast veg,mixed,Breakfast
BF_OUTSIDE_CAFE_BRUNCH,Egg brunch,mixed,Breakfast
BF_OUTSIDE_CAFE_BRUNCH,Cafe poha,mixed,Breakfast
BF_FIELD_WORK_HEAVY,Paratha curd eggs,mixed,Breakfast
BF_FIELD_WORK_HEAVY,Poori sabzi,mixed,Breakfast
BF_FIELD_WORK_HEAVY,Idli vada sambar,mixed,Breakfast
BF_FIELD_WORK_HEAVY,Poha plus sprouts,mixed,Breakfast
BF_FIELD_WORK_HEAVY,Egg paratha,mixed,Breakfast
BF_FIELD_WORK_HEAVY,Chole kulcha,mixed,Breakfast
BF_FIELD_WORK_HEAVY,Dalia plus banana,mixed,Breakfast
BF_FIELD_WORK_HEAVY,Bhakri pitla breakfast,mixed,Breakfast
BF_SKIP_MINIMAL,Tea only,veg,Breakfast
BF_SKIP_MINIMAL,Coffee banana,veg,Breakfast
BF_SKIP_MINIMAL,Milk banana,veg,Breakfast
BF_SKIP_MINIMAL,Chaas fruit,veg,Breakfast
BF_SKIP_MINIMAL,Dry fruit handful,veg,Breakfast
BF_SKIP_MINIMAL,Protein curd bowl,veg,Breakfast
BF_SKIP_MINIMAL,Toast only,veg,Breakfast
BF_SKIP_MINIMAL,Fruit only,veg,Breakfast
LD_DAL_RICE_COMFORT,Arhar dal rice,veg,Lunch/Dinner
LD_DAL_RICE_COMFORT,Moong dal rice,veg,Lunch/Dinner
LD_DAL_RICE_COMFORT,Masoor dal rice,veg,Lunch/Dinner
LD_DAL_RICE_COMFORT,Dal tadka rice,veg,Lunch/Dinner
LD_DAL_RICE_COMFORT,Dalma rice,veg,Lunch/Dinner
LD_DAL_RICE_COMFORT,Varan bhaat,veg,Lunch/Dinner
LD_DAL_RICE_COMFORT,Khichdi kadhi plate,veg,Lunch/Dinner
LD_DAL_RICE_COMFORT,Dal bhat,veg,Lunch/Dinner
LD_DAL_ROTI_SABZI,Dal roti bhindi,veg,Lunch/Dinner
LD_DAL_ROTI_SABZI,Dal roti aloo gobi,veg,Lunch/Dinner
LD_DAL_ROTI_SABZI,Dal roti lauki,veg,Lunch/Dinner
LD_DAL_ROTI_SABZI,Dal roti beans,veg,Lunch/Dinner
LD_DAL_ROTI_SABZI,Dal roti cabbage,veg,Lunch/Dinner
LD_DAL_ROTI_SABZI,Dal roti methi aloo,veg,Lunch/Dinner
LD_DAL_ROTI_SABZI,Dal roti tindora,veg,Lunch/Dinner
LD_DAL_ROTI_SABZI,Dal roti palak,veg,Lunch/Dinner
LD_SIMPLE_GREEN_VEG_SABZI,Bhindi sabzi,veg,Lunch/Dinner
LD_SIMPLE_GREEN_VEG_SABZI,Lauki sabzi,veg,Lunch/Dinner
LD_SIMPLE_GREEN_VEG_SABZI,Turai sabzi,veg,Lunch/Dinner
LD_SIMPLE_GREEN_VEG_SABZI,Tinda sabzi,veg,Lunch/Dinner
LD_SIMPLE_GREEN_VEG_SABZI,Beans poriyal,veg,Lunch/Dinner
LD_SIMPLE_GREEN_VEG_SABZI,Cabbage sabzi,veg,Lunch/Dinner
LD_SIMPLE_GREEN_VEG_SABZI,Kundru sabzi,veg,Lunch/Dinner
LD_SIMPLE_GREEN_VEG_SABZI,Parwal sabzi,veg,Lunch/Dinner
LD_SIMPLE_GREEN_VEG_SABZI,Gawar phali,veg,Lunch/Dinner
LD_SIMPLE_GREEN_VEG_SABZI,Capsicum besan,veg,Lunch/Dinner
LD_GOURD_PUMPKIN_LIGHT,Lauki chana dal,veg,Lunch/Dinner
LD_GOURD_PUMPKIN_LIGHT,Kaddu sabzi,veg,Lunch/Dinner
LD_GOURD_PUMPKIN_LIGHT,Parval curry,veg,Lunch/Dinner
LD_GOURD_PUMPKIN_LIGHT,Snake gourd poriyal,veg,Lunch/Dinner
LD_GOURD_PUMPKIN_LIGHT,Bottle gourd kofta light,veg,Lunch/Dinner
LD_GOURD_PUMPKIN_LIGHT,Tori dal,veg,Lunch/Dinner
LD_GOURD_PUMPKIN_LIGHT,Ash gourd curry,veg,Lunch/Dinner
LD_GOURD_PUMPKIN_LIGHT,Kumro chokka,veg,Lunch/Dinner
LD_LEAFY_GREENS_SAAG,Palak sabzi,veg,Lunch/Dinner
LD_LEAFY_GREENS_SAAG,Methi aloo,veg,Lunch/Dinner
LD_LEAFY_GREENS_SAAG,Sarson ka saag,veg,Lunch/Dinner
LD_LEAFY_GREENS_SAAG,Lal saag,veg,Lunch/Dinner
LD_LEAFY_GREENS_SAAG,Amaranth stir fry,veg,Lunch/Dinner
LD_LEAFY_GREENS_SAAG,Spinach dal,veg,Lunch/Dinner
LD_LEAFY_GREENS_SAAG,Drumstick leaves poriyal,veg,Lunch/Dinner
LD_LEAFY_GREENS_SAAG,Gongura pachadi rice,veg,Lunch/Dinner
LD_ROOT_TUBER_SABZI,Aloo jeera,veg,Lunch/Dinner
LD_ROOT_TUBER_SABZI,Arbi masala,veg,Lunch/Dinner
LD_ROOT_TUBER_SABZI,Sweet potato sabzi,veg,Lunch/Dinner
LD_ROOT_TUBER_SABZI,Suran curry,veg,Lunch/Dinner
LD_ROOT_TUBER_SABZI,Aloo posto,veg,Lunch/Dinner
LD_ROOT_TUBER_SABZI,Aloo capsicum,veg,Lunch/Dinner
LD_ROOT_TUBER_SABZI,Kachaloo,veg,Lunch/Dinner
LD_ROOT_TUBER_SABZI,Kappa puzhukku,veg,Lunch/Dinner
LD_MIXED_VEG_DRY,Mix veg sabzi,veg,Lunch/Dinner
LD_MIXED_VEG_DRY,Avial dry,veg,Lunch/Dinner
LD_MIXED_VEG_DRY,Kadai vegetable,veg,Lunch/Dinner
LD_MIXED_VEG_DRY,Veg poriyal,veg,Lunch/Dinner
LD_MIXED_VEG_DRY,Tawa sabzi,veg,Lunch/Dinner
LD_MIXED_VEG_DRY,Vegetable jalfrezi,veg,Lunch/Dinner
LD_MIXED_VEG_DRY,Undhiyu light,veg,Lunch/Dinner
LD_MIXED_VEG_DRY,Kootu dry,veg,Lunch/Dinner
LD_SEMI_GRAVY_VEG,Aloo matar,veg,Lunch/Dinner
LD_SEMI_GRAVY_VEG,Dum aloo light,veg,Lunch/Dinner
LD_SEMI_GRAVY_VEG,Baingan bharta,veg,Lunch/Dinner
LD_SEMI_GRAVY_VEG,Baingan curry,veg,Lunch/Dinner
LD_SEMI_GRAVY_VEG,Veg korma light,veg,Lunch/Dinner
LD_SEMI_GRAVY_VEG,Veg kurma,veg,Lunch/Dinner
LD_SEMI_GRAVY_VEG,Sev tamatar,veg,Lunch/Dinner
LD_SEMI_GRAVY_VEG,Bagara baingan,veg,Lunch/Dinner
LD_KADHI_CURD_CURRY,Punjabi kadhi,veg,Lunch/Dinner
LD_KADHI_CURD_CURRY,Gujarati kadhi,veg,Lunch/Dinner
LD_KADHI_CURD_CURRY,Rajasthani kadhi,veg,Lunch/Dinner
LD_KADHI_CURD_CURRY,Sindhi kadhi,veg,Lunch/Dinner
LD_KADHI_CURD_CURRY,Mor kuzhambu,veg,Lunch/Dinner
LD_KADHI_CURD_CURRY,Majjiga pulusu,veg,Lunch/Dinner
LD_KADHI_CURD_CURRY,Kadhi pakora,veg,Lunch/Dinner
LD_KADHI_CURD_CURRY,Dahi aloo curry,veg,Lunch/Dinner
LD_RAJMA_CHOLE_LEGUME,Rajma rice,veg,Lunch/Dinner
LD_RAJMA_CHOLE_LEGUME,Chole rice,veg,Lunch/Dinner
LD_RAJMA_CHOLE_LEGUME,Kala chana curry,veg,Lunch/Dinner
LD_RAJMA_CHOLE_LEGUME,Lobia curry,veg,Lunch/Dinner
LD_RAJMA_CHOLE_LEGUME,Matki usal,veg,Lunch/Dinner
LD_RAJMA_CHOLE_LEGUME,Vatana usal,veg,Lunch/Dinner
LD_RAJMA_CHOLE_LEGUME,Ghugni,veg,Lunch/Dinner
LD_RAJMA_CHOLE_LEGUME,Chana masala roti,veg,Lunch/Dinner
LD_PANEER_HOME_DRY,Paneer bhurji,veg,Lunch/Dinner
LD_PANEER_HOME_DRY,Paneer capsicum,veg,Lunch/Dinner
LD_PANEER_HOME_DRY,Matar paneer dry,veg,Lunch/Dinner
LD_PANEER_HOME_DRY,Paneer peas sabzi,veg,Lunch/Dinner
LD_PANEER_HOME_DRY,Palak paneer light,veg,Lunch/Dinner
LD_PANEER_HOME_DRY,Paneer paratha meal,veg,Lunch/Dinner
LD_PANEER_HOME_DRY,Tofu bhurji,veg,Lunch/Dinner
LD_PANEER_HOME_DRY,Paneer tikka roti,veg,Lunch/Dinner
LD_PANEER_RICH_GRAVY,Paneer butter masala,veg,Lunch/Dinner
LD_PANEER_RICH_GRAVY,Shahi paneer,veg,Lunch/Dinner
LD_PANEER_RICH_GRAVY,Kadai paneer gravy,veg,Lunch/Dinner
LD_PANEER_RICH_GRAVY,Matar paneer gravy,veg,Lunch/Dinner
LD_PANEER_RICH_GRAVY,Paneer lababdar,veg,Lunch/Dinner
LD_PANEER_RICH_GRAVY,Malai kofta,veg,Lunch/Dinner
LD_PANEER_RICH_GRAVY,Paneer pasanda,veg,Lunch/Dinner
LD_PANEER_RICH_GRAVY,Paneer makhani,veg,Lunch/Dinner
LD_SOY_TOFU_PROTEIN,Soya chaap curry,veg,Lunch/Dinner
LD_SOY_TOFU_PROTEIN,Tofu stir fry,veg,Lunch/Dinner
LD_SOY_TOFU_PROTEIN,Soya chunk pulao,veg,Lunch/Dinner
LD_SOY_TOFU_PROTEIN,Tofu bhurji,veg,Lunch/Dinner
LD_SOY_TOFU_PROTEIN,Soya keema,veg,Lunch/Dinner
LD_SOY_TOFU_PROTEIN,Soyabean curry,veg,Lunch/Dinner
LD_SOY_TOFU_PROTEIN,Tofu palak,veg,Lunch/Dinner
LD_SOY_TOFU_PROTEIN,Soya tikka roti,veg,Lunch/Dinner
LD_LIGHT_KHICHDI,Moong dal khichdi,veg,Lunch/Dinner
LD_LIGHT_KHICHDI,Masala khichdi,veg,Lunch/Dinner
LD_LIGHT_KHICHDI,Vegetable khichdi,veg,Lunch/Dinner
LD_LIGHT_KHICHDI,Bajra khichdi,veg,Lunch/Dinner
LD_LIGHT_KHICHDI,Oats khichdi,veg,Lunch/Dinner
LD_LIGHT_KHICHDI,Dal khichdi,veg,Lunch/Dinner
LD_LIGHT_KHICHDI,Pongal,veg,Lunch/Dinner
LD_LIGHT_KHICHDI,Soft daliya khichdi,veg,Lunch/Dinner
LD_MILLET_ROTI_THALI,Jowar bhakri pitla,veg,Lunch/Dinner
LD_MILLET_ROTI_THALI,Bajra roti kadhi,veg,Lunch/Dinner
LD_MILLET_ROTI_THALI,Ragi mudde sambar,veg,Lunch/Dinner
LD_MILLET_ROTI_THALI,Bajra rotla ringan,veg,Lunch/Dinner
LD_MILLET_ROTI_THALI,Jowar roti zunka,veg,Lunch/Dinner
LD_MILLET_ROTI_THALI,Makki roti saag,veg,Lunch/Dinner
LD_MILLET_ROTI_THALI,Kodo millet khichdi,veg,Lunch/Dinner
LD_MILLET_ROTI_THALI,Ragi ball curry,veg,Lunch/Dinner
LD_RICE_PULAO_VEG,Veg pulao,veg,Lunch/Dinner
LD_RICE_PULAO_VEG,Peas pulao,veg,Lunch/Dinner
LD_RICE_PULAO_VEG,Jeera rice dal,veg,Lunch/Dinner
LD_RICE_PULAO_VEG,Ghee rice kurma,veg,Lunch/Dinner
LD_RICE_PULAO_VEG,Tomato rice,veg,Lunch/Dinner
LD_RICE_PULAO_VEG,Coconut rice,veg,Lunch/Dinner
LD_RICE_PULAO_VEG,Vegetable tahiri,veg,Lunch/Dinner
LD_RICE_PULAO_VEG,Peanut rice,veg,Lunch/Dinner
LD_VEG_BIRYANI_SPECIAL,Veg biryani,veg,Lunch/Dinner
LD_VEG_BIRYANI_SPECIAL,Hyderabadi veg biryani,veg,Lunch/Dinner
LD_VEG_BIRYANI_SPECIAL,Kathal biryani,veg,Lunch/Dinner
LD_VEG_BIRYANI_SPECIAL,Paneer biryani,veg,Lunch/Dinner
LD_VEG_BIRYANI_SPECIAL,Mushroom biryani,veg,Lunch/Dinner
LD_VEG_BIRYANI_SPECIAL,Tehri,veg,Lunch/Dinner
LD_VEG_BIRYANI_SPECIAL,Kolkata veg biryani,veg,Lunch/Dinner
LD_VEG_BIRYANI_SPECIAL,Awadhi veg biryani,veg,Lunch/Dinner
LD_SOUTH_SAMBAR_RASAM,Sambar rice,veg,Lunch/Dinner
LD_SOUTH_SAMBAR_RASAM,Rasam rice,veg,Lunch/Dinner
LD_SOUTH_SAMBAR_RASAM,Kootu rice,veg,Lunch/Dinner
LD_SOUTH_SAMBAR_RASAM,Poriyal sambar plate,veg,Lunch/Dinner
LD_SOUTH_SAMBAR_RASAM,Sambar sadam,veg,Lunch/Dinner
LD_SOUTH_SAMBAR_RASAM,Pappu charu rice,veg,Lunch/Dinner
LD_SOUTH_SAMBAR_RASAM,Paruppu rasam,veg,Lunch/Dinner
LD_SOUTH_SAMBAR_RASAM,Milagu rasam meal,veg,Lunch/Dinner
LD_SOUTH_CURD_RICE,Curd rice,veg,Lunch/Dinner
LD_SOUTH_CURD_RICE,Bagala bath,veg,Lunch/Dinner
LD_SOUTH_CURD_RICE,Mosaranna,veg,Lunch/Dinner
LD_SOUTH_CURD_RICE,Dahi chawal,veg,Lunch/Dinner
LD_SOUTH_CURD_RICE,Curd rice pickle,veg,Lunch/Dinner
LD_SOUTH_CURD_RICE,Pomegranate curd rice,veg,Lunch/Dinner
LD_SOUTH_CURD_RICE,Tempered curd rice,veg,Lunch/Dinner
LD_SOUTH_CURD_RICE,Thayir sadam,veg,Lunch/Dinner
LD_SOUTH_TAMARIND_LEMON_RICE,Lemon rice,veg,Lunch/Dinner
LD_SOUTH_TAMARIND_LEMON_RICE,Puliyodarai,veg,Lunch/Dinner
LD_SOUTH_TAMARIND_LEMON_RICE,Tamarind rice,veg,Lunch/Dinner
LD_SOUTH_TAMARIND_LEMON_RICE,Coconut rice,veg,Lunch/Dinner
LD_SOUTH_TAMARIND_LEMON_RICE,Tomato rice,veg,Lunch/Dinner
LD_SOUTH_TAMARIND_LEMON_RICE,Mango rice,veg,Lunch/Dinner
LD_SOUTH_TAMARIND_LEMON_RICE,Peanut rice,veg,Lunch/Dinner
LD_SOUTH_TAMARIND_LEMON_RICE,Pulihora,veg,Lunch/Dinner
LD_COCONUT_VEG_STEW,Vegetable stew,veg,Lunch/Dinner
LD_COCONUT_VEG_STEW,Avial,veg,Lunch/Dinner
LD_COCONUT_VEG_STEW,Olan,veg,Lunch/Dinner
